#UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
#abc 01> read_bench "./SAT_set/ex5_enc10_2.bench"
#abc 02> bfs -g 4
#BFS Adjacency Tags Updating...
#Adjacency tags successfully updated. Run "list" command to list network.
#abc 02> scan -g -a
#
#Launching Leakage Analysis...
#
#BFS grouping of size 4 detected. Proceeding with group scan...
#Set Number of Keys considered to: 7
#
#Network List:
Node n71:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 34,	Level = 1	KIF = 0 	Adj. Tag = 1
Node n72:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 20,	Level = 1	KIF = 0 	Adj. Tag = 1
Node n74:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 17,	Level = 1	KIF = 0 	Adj. Tag = 1
Node n75:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 38,	Level = 1	KIF = 0 	Adj. Tag = 1
Node n76:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 19,	Level = 1	KIF = 0 	Adj. Tag = 2
Node n77:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 10,	Level = 1	KIF = 0 	Adj. Tag = 2
Node n78:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 4,	Level = 1	KIF = 0 	Adj. Tag = 2
Node n114:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 6,	Level = 1	KIF = 0 	Adj. Tag = 2
Node n121:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 3
Node n142:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 11,	Level = 1	KIF = 0 	Adj. Tag = 3
Node n175:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 3
Node n193:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 1	KIF = 0 	Adj. Tag = 3
Node n222:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 1	KIF = 0 	Adj. Tag = 4
Node n283:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 4
Node n349:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 4
Node n427:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 1	KIF = 0 	Adj. Tag = 4
Node n73:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 20,	Level = 2	KIF = 1 	Adj. Tag = 5
Node n79:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 2	KIF = 0 	Adj. Tag = 5
Node n442:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 5
