#UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
#abc 01> read_bench "./lazy_cleaned_keyed/lf628.bench"
#abc 02> bfs
#BFS Adjacency Tags Updating...
#Adjacency tags successfully updated. Run "list" command to list network.
#abc 02> scan
#
#Launching Leakage Analysis...
#
#Set Number of Keys considered to: 7
#
#Network List:
Node n20:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 93,	Level = 3	KIF = 0 	Adj. Tag = 12
Node n21:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 89,	Level = 2	KIF = 0 	Adj. Tag = 6
Node n22:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 3	KIF = 1 	Adj. Tag = 13
Node n23:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 3	KIF = 2 	Adj. Tag = 13
Node n24:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 69,	Level = 3	KIF = 1 	Adj. Tag = 14
Node n25:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 63,	Level = 3	KIF = 1 	Adj. Tag = 14
Node n26:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 54,	Level = 3	KIF = 0 	Adj. Tag = 15
Node n27:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 52,	Level = 2	KIF = 1 	Adj. Tag = 6
Node n28:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 41,	Level = 2	KIF = 2 	Adj. Tag = 7
Node n29:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 3	KIF = 0 	Adj. Tag = 15
Node n30:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 12,	Level = 3	KIF = 3 	Adj. Tag = 16
Node n31:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 3,	Level = 4	KIF = 3 	Adj. Tag = 53
Node n32:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 16,	Level = 3	KIF = 2 	Adj. Tag = 16
Node n33:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 4	KIF = 2 	Adj. Tag = 54
Node n34:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 2,	Level = 4	KIF = 2 	Adj. Tag = 54
Node n35:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 5	KIF = 5 	Adj. Tag = 163
Node n36:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 6	KIF = 5 	Adj. Tag = 330
Node n37:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 16,	Level = 5	KIF = 4 	Adj. Tag = 164
Node n38:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 6	KIF = 4 	Adj. Tag = 331
Node n39:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 17,	Level = 5	KIF = 3 	Adj. Tag = 164
Node n40:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 6	KIF = 3 	Adj. Tag = 331
Node n41:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 4,	Level = 6	KIF = 3 	Adj. Tag = 332
Node n42:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 7	KIF = 3 	Adj. Tag = 551
Node n43:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 7	KIF = 7 	Adj. Tag = 552
Node n44:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 8	KIF = 7 	Adj. Tag = 763
