#UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
#abc 01> read_bench "./extreme_high_keyed/lf_h399.bench"
#abc 02> bfs
#BFS Adjacency Tags Updating...
#Adjacency tags successfully updated. Run "list" command to list network.
#abc 02> scan
#
#Launching Leakage Analysis...
#
#Set Number of Keys considered to: 7
#
#Network List:
Node n28:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 1
Node po00:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 21
Node n30:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 94,	Level = 1	KIF = 1 	Adj. Tag = 1
Node n31:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 93,	Level = 1	KIF = 1 	Adj. Tag = 2
Node n32:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 74,	Level = 1	KIF = 0 	Adj. Tag = 2
Node n33:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 81,	Level = 1	KIF = 1 	Adj. Tag = 3
Node n34:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 78,	Level = 1	KIF = 0 	Adj. Tag = 3
Node n35:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 78,	Level = 1	KIF = 0 	Adj. Tag = 4
Node n36:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 51,	Level = 1	KIF = 1 	Adj. Tag = 4
Node n37:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 53,	Level = 1	KIF = 1 	Adj. Tag = 5
Node n38:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 51,	Level = 1	KIF = 1 	Adj. Tag = 5
Node n39:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 24,	Level = 1	KIF = 2 	Adj. Tag = 6
Node n40:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 7,	Level = 2	KIF = 2 	Adj. Tag = 22
Node n41:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 2	KIF = 3 	Adj. Tag = 22
Node n42:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 4,	Level = 3	KIF = 3 	Adj. Tag = 114
Node n43:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 2	KIF = 2 	Adj. Tag = 23
Node n44:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 4,	Level = 4	KIF = 2 	Adj. Tag = 330
